solarSystemID,solarSystemName,security,x,y,z,fromSolarSystemID,toSolarSystemID,,,,,
30000085,Bar,0.66583813,-9.84431E+16,5.41542E+16,-7.42721E+16,30000030,30000112,,,,,
30000086,Sucha,0.658264787,-1.06276E+17,5.26255E+16,-7.20854E+16,30000031,30000033,,,,,
30000087,Gelhan,0.701676428,-1.01293E+17,6.26168E+16,-6.98049E+16,30000031,30000035,,,,,
30000088,Akeva,0.664834849,-9.47095E+16,6.21144E+16,-7.38014E+16,30000032,30000005,,,,,
30000089,Sosa,0.301179027,-8.34869E+16,7.11882E+16,-9.4157E+16,30000032,30000033,,,,,
30000090,Ilahed,0.315943466,-8.17957E+16,7.52612E+16,-9.07067E+16,30000032,30000034,,,,,
30000091,Eshwil,0.218968472,-8.8682E+16,8.23003E+16,-9.76428E+16,30000033,30000031,,,,,
30000092,Aranir,0.242788607,-8.42244E+16,6.69547E+16,-1.0054E+17,30000033,30000032,,,,,
30000093,Ishkad,0.366035538,-8.4113E+16,7.73636E+16,-8.61391E+16,30000034,30000032,,,,,
30000094,Hahyil,0.208114842,-8.89582E+16,6.84622E+16,-1.04269E+17,30000035,30000031,,,,,
30000095,Asilem,0.284997696,-5.98285E+16,6.66296E+16,-8.5659E+16,30000035,30000036,,,,,
30000096,Mahnagh,0.205003378,-6.08739E+16,5.90278E+16,-9.65708E+16,30000035,30000114,,,,,
30000097,Shach,0.32604308,-6.05172E+16,6.08916E+16,-8.38907E+16,30000036,30000035,,,,,
30000098,Kehrara,0.364844024,-7.36652E+16,7.1701E+16,-8.54106E+16,30000036,30000037,,,,,
30000099,Arena,0.442329882,-6.85486E+16,7.06346E+16,-7.63251E+16,30000037,30000036,,,,,
30000100,Timeor,0.314131069,-5.6617E+16,5.50521E+16,-8.21731E+16,30000037,30002508,,,,,
30000101,Uhtafal,0.499612286,-7.30164E+16,7.18324E+16,-7.39731E+16,30000038,30000011,,,,,
30000102,Dysa,0.236195309,-6.13659E+16,7.16859E+16,-8.99731E+16,30000038,30000039,,,,,
30000103,Serad,0.525836373,-6.92378E+16,6.84087E+16,-7.09063E+16,30000038,30000040,,,,,
30000104,Mahti,0.228281786,-5.93589E+16,7.59939E+16,-8.71143E+16,30000038,30000043,,,,,
30000105,Abha,0.434101313,-7.74338E+16,8.30786E+16,-7.20033E+16,30000039,30000038,,,,,
30000106,Shedoo,0.506117739,-8.94336E+16,4.69004E+16,-8.37581E+16,30000039,30000040,,,,,
30000107,Gamis,0.473906174,-1.02363E+17,4.05961E+16,-8.25489E+16,30000039,30000041,,,,,
30000108,Nieril,0.353440208,-1.01098E+17,3.29219E+16,-8.77533E+16,30000040,30000038,,,,,
30000109,Berta,0.489557234,-8.53722E+16,3.34976E+16,-7.8714E+16,30000040,30000039,,,,,
30000110,Bekirdod,0.405349115,-1.06672E+17,4.60868E+16,-8.85355E+16,30000040,30000043,,,,,
30000111,Hothomouh,0.422981028,-1.01697E+17,3.16926E+16,-8.13411E+16,30000041,30000039,,,,,
30000112,Arnola,0.462835403,-5.34522E+16,4.20849E+16,-4.1304E+16,30000041,30000042,,,,,
30000113,Astabih,0.408817589,-5.15087E+16,3.75306E+16,-3.7585E+16,30000042,30000041,,,,,
30000114,Ubtes,0.336073247,-4.99487E+16,2.94308E+16,-3.59923E+16,30000043,30000038,,,,,
30000115,Bimener,0.270041198,-4.63895E+16,2.62775E+16,-3.93678E+16,30000043,30000040,,,,,
30000116,Kenobanala,0.289398349,-4.48956E+16,3.28808E+16,-3.62503E+16,30000043,30000100,,,,,
30000117,Khabi,0.248618615,-4.49161E+16,2.55877E+16,-4.31349E+16,30000044,30000045,,,,,
30000118,Uanzin,0.433972025,-5.27414E+16,3.89345E+16,-4.81218E+16,30000044,30000046,,,,,
30000119,Itamo,0.671738343,-1.1256E+17,4.79283E+16,1.11979E+17,30000045,30000044,,,,,
30000120,Mitsolen,0.633705945,-1.20343E+17,4.01961E+16,1.14066E+17,30000045,30000046,,,,,
30000121,Jatate,0.637428133,-1.13233E+17,4.35358E+16,9.98388E+16,30000045,30000048,,,,,
30000122,Mahtista,0.658237551,-1.1928E+17,4.19549E+16,1.07985E+17,30000045,30000049,,,,,
30000123,Vaankalen,0.647170374,-1.03817E+17,5.40524E+16,1.03155E+17,30000046,30000015,,,,,
30000124,Kylmabe,0.73193132,-1.14553E+17,5.22145E+16,1.16246E+17,30000046,30000044,,,,,
30000125,Ahtulaima,0.612688915,-1.02314E+17,5.15209E+16,1.14451E+17,30000046,30000045,,,,,
30000126,Geras,0.650146462,-1.08837E+17,7.39685E+16,8.89111E+16,30000046,30000047,,,,,
30000127,Sirseshin,0.747992816,-1.2213E+17,7.72945E+16,8.37499E+16,30000046,30000048,,,,,
30000128,Tuuriainas,0.610848927,-1.12954E+17,8.22234E+16,8.78445E+16,30000047,30000046,,,,,
30000129,Unpas,0.945964553,-1.28835E+17,6.47567E+16,9.83381E+16,30000047,30000050,,,,,
30000130,Shihuken,0.874584975,-1.22232E+17,7.19353E+16,9.55732E+16,30000048,30000045,,,,,
30000131,Nomaa,0.606936086,-1.02549E+17,7.51657E+16,9.43405E+16,30000048,30000046,,,,,
30000132,Ansila,0.91201701,-1.41908E+17,5.54307E+16,1.09208E+17,30000048,30000106,,,,,
30000133,Hirtamon,0.974726207,-1.33772E+17,6.15933E+16,1.11642E+17,30000049,30000045,,,,,
30000134,Hykkota,0.823653465,-1.46701E+17,5.13923E+16,1.05854E+17,30000050,30000047,,,,,
30000135,Outuni,0.734172299,-1.48748E+17,4.61212E+16,1.07893E+17,30000051,30000052,,,,,
30000136,Ohmahailen,0.663810823,-1.49794E+17,4.29065E+16,1.04943E+17,30000051,30000053,,,,,
30000137,Eskunen,0.625293935,-1.53519E+17,4.26617E+16,1.05343E+17,30000051,30000056,,,,,
30000138,Ikuchi,0.986814623,-1.37997E+17,6.31575E+16,1.14296E+17,30000051,30000109,,,,,
30000139,Urlen,0.959995211,-1.39377E+17,7.14766E+16,9.9524E+16,30000052,30000003,,,,,
30000140,Maurasi,0.912747593,-1.25987E+17,5.85223E+16,1.10029E+17,30000052,30000051,,,,,
30000141,Kisogo,1,-1.36079E+17,6.74582E+16,8.9182E+16,30000052,30000053,,,,,
30000142,Jita,0.945913117,-1.29065E+17,6.07553E+16,1.17469E+17,30000052,30000054,,,,,
30000143,Niyabainen,0.9639236,-1.44006E+17,6.65822E+16,1.0791E+17,30000052,30000055,,,,,
30000144,Perimeter,0.953123231,-1.43265E+17,6.49237E+16,1.04179E+17,30000053,30000051,,,,,
30000145,New Caldari,1,-1.36591E+17,6.86066E+16,1.1449E+17,30000053,30000052,,,,,
30000146,Saisio,0.652440258,-1.02164E+17,6.8025E+16,9.8881E+16,30000054,30000052,,,,,
30000147,Abagawa,0.625297524,-9.31952E+16,5.96261E+16,8.75347E+16,30000054,30000055,,,,,
30000148,Jakanerva,0.743252265,-1.07736E+17,6.57372E+16,1.12002E+17,30000055,30000052,,,,,
30000149,Gekutami,0.699187208,-9.54091E+16,6.74808E+16,1.11772E+17,30000055,30000054,,,,,
30000150,Hurtoken,0.585977998,-9.00961E+16,6.42135E+16,8.67275E+16,30000056,30000051,,,,,
30000151,Uoyonen,0.69878041,-9.79309E+16,7.37169E+16,1.16755E+17,30000057,30000008,,,,,
30000152,Hampinen,0.541326682,-8.61253E+16,6.38308E+16,9.06408E+16,30000057,30000058,,,,,
30000153,Poinen,0.558052577,-9.83398E+16,7.8355E+16,9.41061E+16,30000057,30000061,,,,,
30000154,Liekuri,0.600608295,-9.78917E+16,7.85972E+16,1.01436E+17,30000057,30000068,,,,,
30000155,Obanen,0.561731733,-9.22642E+16,8.69102E+16,9.9479E+16,30000058,30000057,,,,,
30000156,Josameto,0.577656293,-9.21303E+16,7.33226E+16,9.81688E+16,30000058,30000059,,,,,
30000157,Otela,-1,-8.96204E+16,7.50489E+16,9.3502E+16,30000058,30000068,,,,,
30000158,Olo,0.676040547,-8.26744E+16,9.17787E+16,1.00194E+17,30000058,30000105,,,,,
30000159,Ikami,0.532008285,-8.1145E+16,6.3474E+16,8.4834E+16,30000059,30000058,,,,,
30000160,Reisen,0.518560559,-7.70535E+16,6.27253E+16,8.21716E+16,30000059,30000060,,,,,
30000161,Purjola,0.520526761,-7.74277E+16,5.67027E+16,8.61311E+16,30000060,30000059,,,,,
30000162,Maila,0.440715381,-7.50533E+16,5.38249E+16,9.22506E+16,30000060,30000062,,,,,
30000163,Akora,0.324624876,-6.70751E+16,4.95571E+16,9.43262E+16,30000060,30000063,,,,,
30000164,Messoya,0.315086024,-5.94998E+16,4.39626E+16,8.56051E+16,30000060,30000065,,,,,
30000165,Ishisomo,0.650831543,-8.11484E+16,8.78767E+16,1.15665E+17,30000061,30000057,,,,,
30000166,Airmia,0.623113152,-7.62886E+16,8.30952E+16,1.15924E+17,30000062,30000060,,,,,
30000167,Sakkikainen,0.594888749,-7.71614E+16,8.47808E+16,1.18988E+17,30000062,30000065,,,,,
30000168,Friggi,0.509152956,-7.38758E+16,9.60631E+16,1.20027E+17,30000062,30000067,,,,,
30000169,Ihakana,0.380808678,-7.12226E+16,1.02264E+17,1.21305E+17,30000063,30000060,,,,,
30000170,Vahunomi,0.531591776,-7.97215E+16,8.60839E+16,1.23822E+17,30000063,30000064,,,,,
30000171,Otitoh,0.481666891,-6.72273E+16,9.59762E+16,1.17443E+17,30000063,30000069,,,,,
30000172,Otomainen,0.4791586,-7.77812E+16,1.01875E+17,1.18874E+17,30000064,30000028,,,,,
30000173,Vattuolen,0.708073071,-8.79468E+16,7.60389E+16,1.1647E+17,30000064,30000063,,,,,
30000174,Onuse,0.740427063,-8.50858E+16,6.79762E+16,1.20548E+17,30000064,30000066,,,,,
30000175,Soshin,0.634221028,-8.87445E+16,8.26345E+16,1.19699E+17,30000064,30000069,,,,,
30000176,Keikaken,0.721319231,-8.53789E+16,6.92316E+16,1.24052E+17,30000065,30000060,,,,,
30000177,Ukkalen,0.645119863,-8.44731E+16,6.72807E+16,1.2916E+17,30000065,30000062,,,,,
30000178,Akkilen,0.689045573,-8.32602E+16,7.52312E+16,1.22114E+17,30000065,30000067,,,,,
30000179,Silen,0.522202879,-9.54715E+16,8.8916E+16,1.22999E+17,30000065,30000118,,,,,
30000180,Osmon,0.680264298,-7.72172E+16,9.44996E+16,9.8491E+16,30000066,30000064,,,,,
30000181,Korsiki,0.643165759,-7.0722E+16,9.07887E+16,1.00083E+17,30000066,30000069,,,,,
30000182,Inaya,0.552350224,-7.99112E+16,1.03826E+17,9.91203E+16,30000067,30000062,,,,,
30000183,Nuken,0.761305682,-7.61808E+16,9.49174E+16,1.05754E+17,30000067,30000065,,,,,
30000184,Uminas,0.483909154,-7.65296E+16,1.00379E+17,9.26743E+16,30000068,30000057,,,,,
30000185,Airaken,0.503991882,-6.6184E+16,8.6708E+16,9.93217E+16,30000068,30000058,,,,,
30000186,Oijanen,0.351968653,-6.17518E+16,8.14241E+16,9.82361E+16,30000069,30000063,,,,,
30000187,Wuos,0.561773868,-7.68603E+16,1.04375E+17,1.00137E+17,30000069,30000064,,,,,
30000188,Hentogaira,0.56695828,-8.73483E+16,7.96534E+16,1.29344E+17,30000069,30000066,,,,,
30000189,Kiainti,0.528522107,-8.62489E+16,7.55658E+16,1.33869E+17,30000070,30000073,,,,,
30000190,Vasala,0.493712283,-9.14728E+16,7.52638E+16,1.36942E+17,30000070,30000074,,,,,
30000191,Walvalin,0.378683207,-8.71283E+16,7.90655E+16,1.40857E+17,30000070,30000075,,,,,
30000192,Otanuomi,-1,-8.73733E+16,7.56897E+16,1.42704E+17,30000070,30000085,,,,,
30000193,Vouskiaho,0.500278963,-9.84573E+16,7.65311E+16,1.37573E+17,30000071,30000074,,,,,
30000194,Otsela,0.384399876,-8.51321E+16,8.38109E+16,1.36752E+17,30000072,30000074,,,,,
30000195,Tasti,0.282290969,-5.61066E+16,3.49872E+16,8.27306E+16,30000072,30000075,,,,,
30000196,Otosela,0.238157131,-5.20986E+16,3.81086E+16,8.31031E+16,30000072,30002982,,,,,
30000197,Uemon,0.197446781,-4.72164E+16,3.84231E+16,8.13343E+16,30000073,30000012,,,,,
30000198,Paala,0.134378952,-4.22834E+16,3.64502E+16,8.32417E+16,30000073,30000070,,,,,
30000199,Fuskunen,0.224636624,-4.70041E+16,4.00163E+16,7.79368E+16,30000073,30000085,,,,,
30000200,Akkio,0.162151414,-4.71052E+16,3.02929E+16,8.33173E+16,30000074,30000070,,,,,
30000201,Uchoshi,0.47417905,-1.00497E+17,7.37592E+16,1.41127E+17,30000074,30000071,,,,,
30000202,Mastakomon,0.456966104,-9.87706E+16,6.87553E+16,1.42214E+17,30000074,30000072,,,,,
30000203,Eruka,0.417260816,-9.52184E+16,6.53563E+16,1.43377E+17,30000074,30000075,,,,,
30000204,Ohkunen,0.38488669,-9.52018E+16,7.14783E+16,1.45821E+17,30000075,30000070,,,,,
30000205,Obe,0.346931481,-9.28424E+16,7.08251E+16,1.47778E+17,30000075,30000072,,,,,
30000206,Wirashoda,-1,-1.06151E+17,7.83564E+16,1.41377E+17,30000075,30000074,,,,,
30000207,Osaa,0.329198936,-8.93814E+16,6.4606E+16,1.47105E+17,30000075,30003703,,,,,
30000208,LZ-6SU,-0.172783127,-6.81724E+16,1.01512E+17,1.61085E+17,30000076,30000008,,,,,
30000209,MC6O-F,-0.280434953,-6.64385E+16,1.13761E+17,1.75641E+17,30000076,30000077,,,,,
30000210,U54-1L,-0.268069767,-6.90833E+16,9.8904E+16,1.73566E+17,30000076,30000079,,,,,
30000211,B-588R,-0.154770226,-7.09222E+16,1.02311E+17,1.56334E+17,30000077,30000076,,,,,
30000212,NCGR-Q,-0.260516533,-6.69088E+16,1.08887E+17,1.73211E+17,30000077,30000078,,,,,
30000213,G-LOIT,-0.157009299,-6.49396E+16,1.05434E+17,1.59733E+17,30000077,30000080,,,,,
30000214,HE-V4V,-0.214402934,-6.21041E+16,1.05664E+17,1.68747E+17,30000078,30000077,,,,,
30000215,N-HSK0,-0.36044045,-9.93742E+16,7.55271E+16,1.92432E+17,30000078,30000080,,,,,
30000216,05R-7A,-0.401775551,-9.1474E+16,7.70681E+16,1.94555E+17,30000079,30000076,,,,,
30000217,7-UH4Z,-0.363871344,-9.6693E+16,6.85355E+16,1.96323E+17,30000080,30000077,,,,,
30000218,5ZO-NZ,-0.303460798,-8.93086E+16,6.01744E+16,1.91931E+17,30000080,30000078,,,,,
30000219,FS-RFL,-0.370815824,-9.00407E+16,7.5565E+16,1.91194E+17,30000080,30000081,,,,,
30000220,Y0-BVN,-0.439537251,-1.01435E+17,7.48545E+16,2.0494E+17,30000081,30000080,,,,,
30000221,X97D-W,-0.427644902,-9.36913E+16,7.65949E+16,1.98627E+17,30000082,30000083,,,,,
30000222,0-R5TS,-0.218626806,-6.7201E+16,9.82073E+16,1.6814E+17,30000082,30000084,,,,,
30000223,H-UCD1,-0.172228764,-5.75498E+16,9.40834E+16,1.63905E+17,30000082,30000085,,,,,
30000224,7-K5EL,-0.150502056,-5.32974E+16,8.54139E+16,1.61982E+17,30000083,30000082,,,,,
30000225,H-5GUI,-0.14051498,-4.85836E+16,8.58877E+16,1.49434E+17,30000083,30000087,,,,,
30000226,FH-TTC,-0.137552926,-3.49915E+16,7.65177E+16,1.53563E+17,30000084,30000003,,,,,
30000227,FMBR-8,-0.138441089,-3.29642E+16,8.12217E+16,1.5651E+17,30000084,30000082,,,,,
30000228,3HX-DL,-0.423819136,-9.72339E+16,1.32878E+17,2.06798E+17,30000084,30000086,,,,,
30000229,UH-9ZG,-0.462583591,-1.02865E+17,1.16894E+17,2.05097E+17,30000085,30000070,,,,,
30000230,NFM-0V,-0.499122579,-9.4664E+16,1.22977E+17,2.05484E+17,30000085,30000073,,,,,
30000231,YXIB-I,-0.506995056,-1.00634E+17,1.17432E+17,2.08708E+17,30000085,30000082,,,,,
30000232,MY-T2P,-0.377080783,-1.03893E+17,1.33505E+17,2.07274E+17,30000085,30000086,,,,,
30000233,FA-DMO,-0.385582817,-9.61268E+16,1.41215E+17,2.10435E+17,30000085,30000107,,,,,
30000234,GEKJ-9,-0.386353757,-1.09456E+17,1.26123E+17,2.07354E+17,30000086,30000084,,,,,
30000235,Q-R3GP,-0.355138,-9.34046E+16,1.42293E+17,2.04847E+17,30000086,30000085,,,,,
30000236,N-5QPW,-0.392557901,-8.90111E+16,1.45615E+17,2.11632E+17,30000087,30000083,,,,,
30000237,XV-8JQ,-0.394929249,-1.07038E+17,1.33962E+17,2.14695E+17,30000087,30000088,,,,,
30000238,WBR5-R,-0.515803443,-6.98605E+16,1.07517E+17,1.92417E+17,30000088,30000087,,,,,
30000239,4GYV-Q,-0.536556145,-7.33672E+16,9.41431E+16,1.96782E+17,30000089,30000090,,,,,
30000240,4-HWWF,-0.473026353,-7.96908E+16,9.80605E+16,1.91967E+17,30000089,30000091,,,,,
30000241,YMJG-4,-0.41689354,-8.47544E+16,8.87615E+16,1.90131E+17,30000089,30000092,,,,,
30000242,8TPX-N,-0.437191609,-7.37645E+16,1.10098E+17,1.87628E+17,30000090,30000014,,,,,
30000243,PM-DWE,-0.423652869,-7.33287E+16,1.00276E+17,1.86874E+17,30000090,30000089,,,,,
30000244,K8X-6B,-0.430215394,-9.57259E+16,1.00391E+17,1.9341E+17,30000090,30000093,,,,,
30000245,X445-5,-0.413753523,-1.03272E+17,1.00106E+17,1.95674E+17,30000091,30000089,,,,,
30000246,KRUN-N,-0.386696738,-9.28637E+16,9.457E+16,1.88054E+17,30000092,30000089,,,,,
30000247,9OO-LH,-0.466964327,-1.02927E+17,1.04513E+17,2.01946E+17,30000092,30000094,,,,,
30000248,V-OJEN,-0.31684271,-9.14541E+16,8.05576E+16,1.81931E+17,30000093,30000090,,,,,
30000249,EIDI-N,-0.406106436,-8.86859E+16,9.85872E+16,1.88429E+17,30000094,30000092,,,,,
30000250,P3EN-E,-0.274879667,-9.12454E+16,1.01066E+17,1.74032E+17,30000095,30000097,,,,,
30000251,49-0LI,-0.320104364,-9.48531E+16,7.76959E+16,1.83949E+17,30000095,30000102,,,,,
30000252,IPAY-2,-0.339133695,-8.97524E+16,1.02802E+17,1.82022E+17,30000096,30000097,,,,,
30000253,DAYP-G,-0.392761281,-8.94941E+16,9.06355E+16,1.88326E+17,30000097,30000095,,,,,
30000254,IFJ-EL,-0.291599233,-9.44932E+16,1.1632E+17,1.80864E+17,30000097,30000096,,,,,
30000255,47L-J4,-0.261392421,-9.49036E+16,1.18482E+17,1.78E+17,30000097,30000098,,,,,
